url,classification_batch12a,resolved_batch12b,resolved_batch12c,resolved_batch12d,resolved_batch12e,current_route_exists,production_status,indexable,canonical,sitemap,current_classification,include_batch12f,reason
/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-ขอนแก่น,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ขอนแก่น,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-นครพนม,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครพนม,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-นครราชสีมา,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครราชสีมา,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-บึงกาฬ,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บึงกาฬ,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-มหาสารคาม,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มหาสารคาม,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-มุกดาหาร,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มุกดาหาร,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-ยโสธร,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ยโสธร,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-เลย,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-เลย,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-สกลนคร,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-สกลนคร,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-สุรินทร์,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-หนองคาย,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-หนองคาย,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,MERGE,family_pilot,yes,no,no,retired_redirect,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อุดรธานี,yes,RESOLVED_MERGE_COLLECTIBLES,no,resolved Collectibles MERGE family Batch 12B/12C
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,IMPROVE,no,no,yes,no,yes,200-local-build,yes,https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,yes,RESOLVED_IMPROVE,no,resolved IMPROVE Batch 12D/12E
