File,Type,Change summary,In scope
src/content/services/รับซื้อ-macbook.md,Content,Strengthened transactional metadata above-fold answer model/spec guidance model table Intel-vs-Apple-Silicon section and six-step process,Yes
src/content/services/รับซื้อ-macbook-intel.md,Content,Added modifier-specific links to M1 and M2,Yes
src/content/services/รับซื้อ-macbook-m1.md,Content,Added modifier-specific links to Air Pro and M2,Yes
src/content/services/รับซื้อ-macbook-m2.md,Content,Added modifier-specific links to Air Pro M1 and M3/M4,Yes
src/content/services/รับซื้อ-macbook-m3-m4.md,Content,Added modifier-specific links to Air Pro and M2,Yes
src/content/services/รับซื้อ-macbook-เสีย.md,Content,Added condition-specific link to screen-damage page,Yes
src/content/services/รับซื้อ-macbook-จอแตก.md,Content,Added condition-specific link to broken-unit page,Yes
src/content/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี.md,Content,Repositioned as informational seller-preparation guide with one Hub CTA,Yes
src/content/blog/ราคา-macbook-มือสอง-2026.md,Content,Varied Hub anchor for price-research context,Yes
src/content/blog/macbook-battery-cycle-มีผลต่อราคาขายแค่ไหน.md,Content,Varied Hub anchors for battery valuation context,Yes
src/content/blog/macbook-ติด-apple-id-find-my-ก่อนขาย.md,Content,Varied Hub anchors for Find My and handoff context,Yes
src/content/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย.md,Content,Varied Hub anchors for preparation context,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-baseline.md,Report,Original Batch 2.1 baseline,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-page-query-map-after.csv,Report,Contract-compatible alias of the original page query map,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-internal-links-before-after.csv,Report,Contract-compatible alias of the original internal link map,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-files-changed.csv,Report,Contract-compatible Batch 2.1 file manifest,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-qa-report.md,Report,Contract-compatible QA report updated after Batch 2.1.1 recovery,Yes
docs/batch-2-1-macbook-hub-strengthening/batch-2-1-final-report.md,Report,Contract-compatible final report updated after Batch 2.1.1 recovery,Yes
